Rank,NOC,Gold,Silver,Bronze,Total,Year,NOC_original
1,Soviet Union ,43,29,31,103,1960,Soviet Union 
2,United States ,34,21,16,71,1960,United States 
3,Italy ,13,10,13,36,1960,Italy 
4,United Team of Germany ,12,19,11,42,1960,United Team of Germany 
5,Australia ,8,8,6,22,1960,Australia 
6,Turkey ,7,2,0,9,1960,Turkey 
7,Hungary ,6,8,7,21,1960,Hungary 
8,Japan ,4,7,7,18,1960,Japan 
9,Poland ,4,6,11,21,1960,Poland 
10,Czechoslovakia ,3,2,3,8,1960,Czechoslovakia 
11,Romania ,3,1,6,10,1960,Romania 
12,Great Britain ,2,6,12,20,1960,Great Britain 
13,Denmark ,2,3,1,6,1960,Denmark 
14,New Zealand ,2,0,1,3,1960,New Zealand 
15,Bulgaria ,1,3,3,7,1960,Bulgaria 
16,Sweden ,1,2,3,6,1960,Sweden 
17,Finland ,1,1,3,5,1960,Finland 
18,Austria ,1,1,0,2,1960,Austria 
18,Yugoslavia ,1,1,0,2,1960,Yugoslavia 
20,Pakistan ,1,0,1,2,1960,Pakistan 
21,Ethiopia ,1,0,0,1,1960,Ethiopia 
21,Greece ,1,0,0,1,1960,Greece 
21,Norway ,1,0,0,1,1960,Norway 
24,Switzerland ,0,3,3,6,1960,Switzerland 
25,France ,0,2,3,5,1960,France 
26,Belgium ,0,2,2,4,1960,Belgium 
27,Iran ,0,1,3,4,1960,Iran 
28,Netherlands ,0,1,2,3,1960,Netherlands 
28,South Africa ,0,1,2,3,1960,South Africa 
30,Argentina ,0,1,1,2,1960,Argentina 
30,Egypt ,0,1,1,2,1960,Egypt 
32,Canada ,0,1,0,1,1960,Canada 
32,Formosa ,0,1,0,1,1960,Formosa 
32,Ghana ,0,1,0,1,1960,Ghana 
32,India ,0,1,0,1,1960,India 
32,Morocco ,0,1,0,1,1960,Morocco 
32,Portugal ,0,1,0,1,1960,Portugal 
32,Singapore ,0,1,0,1,1960,Singapore 
39,Brazil ,0,0,2,2,1960,Brazil 
39,British West Indies ,0,0,2,2,1960,British West Indies 
41,Iraq ,0,0,1,1,1960,Iraq 
41,Mexico ,0,0,1,1,1960,Mexico 
41,Spain ,0,0,1,1,1960,Spain 
41,Venezuela ,0,0,1,1,1960,Venezuela 
1,United States,36,26,28,90,1964,United States
2,Soviet Union,30,31,35,96,1964,Soviet Union
3,Japan,16,5,8,29,1964,Japan
4,United Team of Germany,10,22,18,50,1964,United Team of Germany
5,Italy,10,10,7,27,1964,Italy
6,Hungary,10,7,5,22,1964,Hungary
7,Poland,7,6,10,23,1964,Poland
8,Australia,6,2,10,18,1964,Australia
9,Czechoslovakia,5,6,3,14,1964,Czechoslovakia
10,Great Britain,4,12,2,18,1964,Great Britain
11,Bulgaria,3,5,2,10,1964,Bulgaria
12,Finland,3,0,2,5,1964,Finland
12,New Zealand,3,0,2,5,1964,New Zealand
14,Romania,2,4,6,12,1964,Romania
15,Netherlands,2,4,4,10,1964,Netherlands
16,Turkey,2,3,1,6,1964,Turkey
17,Sweden,2,2,4,8,1964,Sweden
18,Denmark,2,1,3,6,1964,Denmark
19,Yugoslavia,2,1,2,5,1964,Yugoslavia
20,Belgium,2,0,1,3,1964,Belgium
21,France,1,8,6,15,1964,France
22,Canada,1,2,1,4,1964,Canada
22,Switzerland,1,2,1,4,1964,Switzerland
24,Bahamas,1,0,0,1,1964,Bahamas
24,Ethiopia,1,0,0,1,1964,Ethiopia
24,India,1,0,0,1,1964,India
27,South Korea,0,2,1,3,1964,South Korea
28,Trinidad and Tobago,0,1,2,3,1964,Trinidad and Tobago
29,Tunisia,0,1,1,2,1964,Tunisia
30,Argentina,0,1,0,1,1964,Argentina
30,Cuba,0,1,0,1,1964,Cuba
30,Pakistan,0,1,0,1,1964,Pakistan
30,Philippines,0,1,0,1,1964,Philippines
34,Iran,0,0,2,2,1964,Iran
35,Brazil,0,0,1,1,1964,Brazil
35,Ghana,0,0,1,1,1964,Ghana
35,Ireland,0,0,1,1,1964,Ireland
35,Kenya,0,0,1,1,1964,Kenya
35,Mexico,0,0,1,1,1964,Mexico
35,Nigeria,0,0,1,1,1964,Nigeria
35,Uruguay,0,0,1,1,1964,Uruguay
1,United States,45,28,34,107,1968,United States
2,Soviet Union,29,32,30,91,1968,Soviet Union
3,Japan,11,7,7,25,1968,Japan
4,Hungary,10,10,12,32,1968,Hungary
5,East Germany,9,9,7,25,1968,East Germany
6,France,7,3,5,15,1968,France
7,Czechoslovakia,7,2,4,13,1968,Czechoslovakia
8,West Germany,5,11,10,26,1968,West Germany
9,Australia,5,7,5,17,1968,Australia
10,Great Britain,5,5,3,13,1968,Great Britain
11,Poland,5,2,11,18,1968,Poland
12,Romania,4,6,5,15,1968,Romania
13,Italy,3,4,9,16,1968,Italy
14,Kenya,3,4,2,9,1968,Kenya
15,Mexico,3,3,3,9,1968,Mexico
16,Yugoslavia,3,3,2,8,1968,Yugoslavia
17,Netherlands,3,3,1,7,1968,Netherlands
18,Bulgaria,2,4,3,9,1968,Bulgaria
19,Iran,2,1,2,5,1968,Iran
20,Sweden,2,1,1,4,1968,Sweden
21,Turkey,2,0,0,2,1968,Turkey
22,Denmark,1,4,3,8,1968,Denmark
23,Canada,1,3,1,5,1968,Canada
24,Finland,1,2,1,4,1968,Finland
25,Ethiopia,1,1,0,2,1968,Ethiopia
25,Norway,1,1,0,2,1968,Norway
27,New Zealand,1,0,2,3,1968,New Zealand
28,Tunisia,1,0,1,2,1968,Tunisia
29,Pakistan,1,0,0,1,1968,Pakistan
29,Venezuela,1,0,0,1,1968,Venezuela
31,Cuba,0,4,0,4,1968,Cuba
32,Austria,0,2,2,4,1968,Austria
33,Switzerland,0,1,4,5,1968,Switzerland
34,Mongolia,0,1,3,4,1968,Mongolia
35,Brazil,0,1,2,3,1968,Brazil
36,Belgium,0,1,1,2,1968,Belgium
36,South Korea,0,1,1,2,1968,South Korea
36,Uganda,0,1,1,2,1968,Uganda
39,Cameroon,0,1,0,1,1968,Cameroon
39,Jamaica,0,1,0,1,1968,Jamaica
41,Argentina,0,0,2,2,1968,Argentina
42,Greece,0,0,1,1,1968,Greece
42,India,0,0,1,1,1968,India
