NOC,Year,mean_prediction,std_prediction,ci_lower_95,ci_upper_95
AIN,2024,1.1087863,0.32856146,0.52373767,1.8007047
ALB,2024,0.55160046,0.23963736,0.10857514,1.0299022
ALG,2024,1.8093909,0.36965728,1.1179875,2.561067
ARG,2024,3.1276429,0.51124257,2.2195323,4.223275
ARM,2024,2.1878724,0.47440302,1.3359765,3.125657
AUS,2024,16.520613,2.4094934,12.11694,21.496735
AUT,2024,2.1321063,0.46330947,1.2322959,3.0356824
AZE,2024,5.057572,0.8060726,3.5158482,6.559548
BEL,2024,4.740871,0.79728085,3.2109816,6.320676
BOT,2024,0.6111158,0.2292899,0.22995417,1.1336553
BRA,2024,9.239387,1.2805129,6.819852,11.7648115
BRN,2024,0.69337994,0.24865676,0.27028567,1.2683127
BUL,2024,3.5907857,0.66259164,2.3631647,4.883868
CAN,2024,12.19454,2.133774,8.15906,16.373825
CHI,2024,1.6667991,0.30255407,1.0699972,2.29705
CHN,2024,24.319082,2.336293,19.415628,28.324165
CIV,2024,0.7800611,0.25976697,0.3346696,1.3165655
COL,2024,3.6695452,0.5751705,2.667935,4.97238
CPV,2024,0.4724062,0.14561288,0.20954943,0.7867612
CRO,2024,4.899778,0.8086526,3.4055858,6.561482
CUB,2024,4.120785,0.8340474,2.649661,5.89941
CYP,2024,0.64017045,0.29969162,0.19699931,1.3853054
CZE,2024,6.7569356,0.94968957,4.5814114,8.332764
DEN,2024,5.8872156,0.6618439,4.5413604,7.1370583
DMA,2024,0.2873423,0.14385597,0.007016301,0.57090366
DOM,2024,1.1496744,0.28343514,0.6453097,1.7611905
ECU,2024,1.2797333,0.24068595,0.843267,1.7492551
EGY,2024,2.4303162,0.67150337,1.222277,3.828956
EOR,2024,1.237762,0.29285076,0.5999487,1.7367659
ESP,2024,9.845618,1.5952232,7.011328,13.5189495
ETH,2024,3.3265393,0.56806684,2.1342337,4.352386
FIJ,2024,0.5901335,0.22037423,0.20986678,1.0769949
FRA,2024,19.6114,2.3830993,15.565754,25.000591
GBR,2024,19.384552,2.3102987,15.053908,24.360243
GEO,2024,2.2292128,0.42000595,1.4417912,3.1026034
GER,2024,18.886028,2.1199713,15.175555,23.43215
GRE,2024,3.244129,0.5113074,2.2626183,4.2658467
GRN,2024,0.31208023,0.13964705,0.08272992,0.5967979
GUA,2024,0.4588966,0.1803728,0.14117771,0.84190834
HKG,2024,1.0923086,0.22293559,0.6649648,1.5373812
HUN,2024,5.2778416,0.7378378,4.0062017,6.9062467
INA,2024,1.8399665,0.32685643,1.252823,2.51768
IND,2024,2.24696,0.46478635,1.4531118,3.2080588
IRI,2024,2.6608732,0.49805868,1.7425631,3.6633205
IRL,2024,2.3478568,0.6487412,1.2284414,3.7263043
ISR,2024,1.672151,0.4016026,0.91695297,2.4900897
ITA,2024,15.559164,2.3554819,11.005122,20.313524
JAM,2024,4.1762156,0.69400215,3.1069245,5.850547
JOR,2024,0.39971972,0.1719083,0.086869955,0.7529984
JPN,2024,16.506453,2.4726686,11.662212,21.540855
KAZ,2024,5.2603803,0.67803323,3.993874,6.7150483
KEN,2024,4.7331963,0.6741646,3.511609,6.1538672
KGZ,2024,0.9787309,0.19308174,0.5929392,1.356707
KOR,2024,5.9957223,0.8296652,4.454426,7.6515107
KOS,2024,1.0545017,0.36805004,0.4424205,1.8579853
LCA,2024,0.30030096,0.12025649,0.09377836,0.56777966
LTU,2024,1.4946514,0.33057556,0.9083438,2.1856594
MAR,2024,1.6777669,0.31222275,1.136007,2.3333125
MAS,2024,1.6887333,0.33524454,1.0536957,2.3788242
MDA,2024,1.2611713,0.35555974,0.64099085,2.0069623
MEX,2024,3.1784127,0.49065715,2.3600876,4.2602367
MGL,2024,1.4876786,0.31352687,0.9153345,2.1544313
NED,2024,9.021072,1.5874889,6.2078996,12.419957
NOR,2024,2.6625984,0.6215985,1.4795406,3.9372082
NZL,2024,6.700751,0.90878105,5.1434464,8.776951
PAK,2024,0.45341533,0.18480958,0.15358596,0.8599549
PAN,2024,0.7141458,0.18894292,0.34973085,1.1132153
PER,2024,0.3510824,0.1752227,0.038285665,0.7318706
PHI,2024,0.77234805,0.2967932,0.27087048,1.469467
POL,2024,6.1467266,0.8212129,4.7077985,7.9436255
POR,2024,1.7674806,0.41222647,0.97970057,2.544757
PRK,2024,2.8227036,0.38980246,2.079773,3.5740433
PUR,2024,1.0126159,0.22887263,0.5930712,1.4781138
QAT,2024,0.47467476,0.19924992,0.14055112,0.9353319
ROU,2024,2.836963,0.58253324,1.7541595,3.9877832
RSA,2024,3.8806214,0.67070067,2.653669,5.259353
SGP,2024,0.8785875,0.26624918,0.40689987,1.4061155
SLO,2024,1.8979917,0.46341255,1.1336551,2.871036
SRB,2024,3.7070165,0.5427435,2.7189424,4.777616
SUI,2024,3.295617,0.5952775,2.26271,4.4955726
SVK,2024,2.6099854,0.41780424,1.8167036,3.452419
SWE,2024,4.2834606,0.7172819,2.991655,5.615255
THA,2024,2.2770445,0.4359362,1.5013192,3.2004676
TJK,2024,1.0253084,0.25282374,0.5539588,1.5391674
TPE,2024,2.3935657,0.35691935,1.7083087,3.1234531
TUN,2024,1.4052008,0.38421232,0.7179089,2.24745
TUR,2024,2.6739328,0.52974623,1.6654861,3.698773
UGA,2024,0.37253246,0.20692004,0.005023774,0.82486284
UKR,2024,5.522504,0.8764531,3.9341023,7.331951
USA,2024,34.59314,4.4103537,27.458473,43.686356
UZB,2024,4.742799,0.74384975,3.3400972,6.206794
ZAM,2024,0.20090123,0.18252137,0.0,0.62574613
