NOC,Year,mean_prediction,std_prediction,ci_lower_95,ci_upper_95
AIN,2024,2.6697211,0.56415707,1.6671064,3.8298218
ALB,2024,1.2683337,0.34065259,0.6023349,1.9452355
ALG,2024,2.232852,0.78835446,0.7608427,3.828266
ARG,2024,5.537472,1.827758,2.0433445,9.179546
ARM,2024,3.8068876,1.0248141,1.9018135,5.927228
AUS,2024,44.91542,7.389796,32.4886,61.281624
AUT,2024,3.1023247,1.3583721,0.41406956,5.681985
AZE,2024,9.64945,2.2775981,5.463684,14.379396
BEL,2024,9.490272,2.3721452,5.121982,14.321798
BOT,2024,1.288261,0.41847846,0.5276094,2.190369
BRA,2024,20.990644,3.5899978,13.796937,27.946781
BRN,2024,2.0201452,0.6185392,0.9053623,3.359751
BUL,2024,4.755526,1.787802,1.2053921,8.432098
CAN,2024,26.659428,5.56863,16.376547,37.736847
CHI,2024,1.3411784,0.8530418,-0.37869376,2.9257627
CHN,2024,74.57389,8.86947,57.653698,91.99807
CIV,2024,2.5935428,0.62125266,1.4656371,3.956101
COL,2024,6.9405785,1.687452,3.7973878,10.320996
CPV,2024,1.5472338,0.3230918,0.9938204,2.2526593
CRO,2024,11.248177,1.8789194,7.900187,15.216727
CUB,2024,7.828217,2.1122916,3.9134862,12.208582
CYP,2024,2.0859203,0.4414825,1.3238312,3.0147538
CZE,2024,11.76545,2.0853105,7.8137746,15.629824
DEN,2024,12.930028,2.2427952,8.52156,17.203272
DMA,2024,1.1436248,0.255782,0.670691,1.6786615
DOM,2024,1.6538893,0.55915415,0.58179826,2.713075
ECU,2024,1.982453,0.48136425,1.1122441,2.9687338
EGY,2024,5.7749014,2.3596814,1.5304136,10.597839
EOR,2024,2.3829489,0.48179534,1.5631586,3.4523842
ESP,2024,25.803328,5.3965244,16.112709,37.004883
ETH,2024,6.71059,1.420565,4.148664,9.640186
FIJ,2024,1.6757897,0.54378295,0.5998699,2.836857
FRA,2024,63.82136,9.507522,48.091846,84.98358
GBR,2024,63.701153,7.062147,51.079147,79.2652
GEO,2024,6.5736194,1.0700876,4.6175847,8.942953
GER,2024,56.53998,6.900237,43.893932,72.135025
GRE,2024,8.501638,1.3602115,5.80962,11.113967
GRN,2024,1.6771777,0.359963,1.0128406,2.4393783
GUA,2024,1.109654,0.45932543,0.20945191,2.0118117
HKG,2024,1.9980366,0.48703918,1.0798507,3.0300844
HUN,2024,17.595356,2.588418,12.757316,22.84461
INA,2024,5.0090394,1.011309,3.1171134,7.093892
IND,2024,6.0106616,1.223216,3.7593663,8.535369
IRI,2024,5.7527165,1.3992493,3.1903372,8.671651
IRL,2024,6.8433204,2.7817135,2.186782,13.443587
ISR,2024,2.764548,1.1832532,0.48010358,5.058161
ITA,2024,40.904316,5.706625,30.385822,54.66239
JAM,2024,11.790101,1.7483103,8.180846,15.235964
JOR,2024,2.0066316,0.4889331,1.1772615,3.1117334
JPN,2024,39.850227,6.160335,28.159092,52.34791
KAZ,2024,12.2342,2.1407125,8.246437,16.770794
KEN,2024,11.692346,2.1134574,7.6904044,16.257208
KGZ,2024,1.3939416,0.36547932,0.76478654,2.2092366
KOR,2024,19.515713,2.6302135,14.562844,25.067142
KOS,2024,3.039231,0.6067585,1.955161,4.3097715
LCA,2024,1.516273,0.28061932,1.0084469,2.1279707
LTU,2024,4.7507873,1.1987745,2.4581602,7.1593647
MAR,2024,2.3483484,0.9047218,0.5145888,4.007026
MAS,2024,1.9551626,1.1669104,-0.04415126,4.4282894
MDA,2024,2.14035,0.60881037,1.1592212,3.453779
MEX,2024,7.133937,2.176041,3.035932,11.423934
MGL,2024,3.6318889,0.76856107,2.1846094,5.2966948
NED,2024,22.258541,4.8965273,13.264544,32.9555
NOR,2024,5.1683917,1.4185863,2.4454746,7.9541163
NZL,2024,20.824783,2.561155,15.787517,26.104166
PAK,2024,1.2288356,0.37728304,0.5406305,2.0358546
PAN,2024,1.0486375,0.40378255,0.2902865,1.8717275
PER,2024,1.3038194,0.4676711,0.42833716,2.2729218
PHI,2024,1.7572224,0.57649136,0.77487856,3.003844
POL,2024,14.812126,2.4983647,10.225294,20.043913
POR,2024,2.0565605,0.8929892,0.20351665,3.8034868
PRK,2024,5.8993306,1.3111659,3.4729202,8.587357
PUR,2024,2.053092,0.56531477,0.9722341,3.210114
QAT,2024,1.2189252,0.41326162,0.46331936,2.051556
ROU,2024,6.861793,2.0017726,3.2766197,10.854021
RSA,2024,9.058364,1.7972167,5.640695,12.820104
SGP,2024,2.2289085,0.57004523,1.2286177,3.4141107
SLO,2024,5.965892,1.1821028,3.7739782,8.373794
SRB,2024,9.551408,1.6528757,6.468332,12.72542
SUI,2024,9.558334,2.0017588,5.940853,13.663683
SVK,2024,5.8179283,1.4285345,3.2798145,8.915452
SWE,2024,10.140309,2.1782632,5.8445377,14.624114
THA,2024,5.2312374,1.190401,2.9922702,7.7081532
TJK,2024,1.8773522,0.49894866,1.0037464,2.9749491
TPE,2024,5.3862443,1.0775881,3.3943172,7.555933
TUN,2024,1.8399602,0.74837565,0.41109538,3.2903736
TUR,2024,6.756227,1.6058577,3.6385798,10.0511
UGA,2024,1.7497442,0.48612174,0.8982402,2.760622
UKR,2024,14.42257,2.8390105,9.139331,19.925602
USA,2024,116.21173,7.177434,102.73056,129.1873
UZB,2024,11.233242,2.2081,7.1481237,15.663919
ZAM,2024,1.0486718,0.73918694,-0.34883595,2.6858487
