NOC,Year,mean_prediction,std_prediction,ci_lower_95,ci_upper_95
AIN,2024,0.7646046,0.13368101,0.5349115,1.0579854
ALB,2024,0.5271671,0.07537294,0.38112867,0.67668146
ALG,2024,0.72264874,0.20752344,0.36978996,1.1897333
ARG,2024,1.9396474,0.43568408,1.0971953,2.8250318
ARM,2024,1.0438596,0.25794894,0.5769906,1.6112845
AUS,2024,15.796498,3.042041,10.51355,22.381508
AUT,2024,1.2227155,0.30628464,0.5977902,1.8236014
AZE,2024,3.6077368,0.97617406,2.064883,5.8072014
BEL,2024,3.8922522,0.7053247,2.5289772,5.364977
BOT,2024,0.52276385,0.07041554,0.38102895,0.66297483
BRA,2024,7.0295525,1.0307966,5.3020988,9.317486
BRN,2024,0.59828067,0.1602126,0.36364135,0.96421784
BUL,2024,1.6202905,0.44071117,0.86765945,2.5700107
CAN,2024,8.249609,1.6396178,5.546091,11.897593
CHI,2024,0.55864364,0.15923788,0.2369537,0.88161135
CHN,2024,21.040163,2.273125,16.98867,25.899837
CIV,2024,0.74253,0.15910664,0.4941371,1.0970688
COL,2024,2.1242876,0.41243583,1.3340248,3.0003529
CPV,2024,0.54010266,0.067537814,0.41584826,0.67640364
CRO,2024,2.8473778,0.51686376,1.9479938,3.8845804
CUB,2024,2.330485,0.62976086,1.3027185,3.794116
CYP,2024,0.63332874,0.10382516,0.45721155,0.85635245
CZE,2024,3.7275317,0.65432227,2.6049016,5.2506833
DEN,2024,4.469449,0.87459064,2.9625463,6.3782763
DMA,2024,0.5405757,0.065976,0.41433582,0.67262274
DOM,2024,0.6986544,0.1435193,0.4347569,0.9830233
ECU,2024,0.6762749,0.11628821,0.46321866,0.93593895
EGY,2024,2.4244673,0.5218997,1.4159758,3.5337508
EOR,2024,0.7007357,0.10948612,0.5156122,0.9526057
ESP,2024,8.622931,1.6324459,5.96959,12.499443
ETH,2024,1.9876233,0.41602996,1.2817202,2.8480146
FIJ,2024,0.57650465,0.14195837,0.31934774,0.8901276
FRA,2024,21.607729,3.8823106,14.343017,29.245586
GBR,2024,19.751003,1.8432744,16.148676,23.433645
GEO,2024,1.992691,0.34895322,1.3668715,2.7309058
GER,2024,17.802439,3.0755002,12.994957,24.483595
GRE,2024,2.6584454,0.4070295,1.9651086,3.5390022
GRN,2024,0.62546057,0.113571085,0.43515456,0.88155925
GUA,2024,0.4499517,0.088726915,0.28296196,0.6152213
