feature,importance
athlete_count,0.2148011
event_count,0.1603465
athlete_medal_interaction,0.128291
max_medals_historical,0.11192774
avg_medals_last_3,0.046740968
athlete_count_normalized,0.04666126
medal_count_lag1,0.036861543
sport_count,0.034922414
medal_streak,0.033899885
historical_medal_rate,0.01678383
years_since_last_medal,0.016228305
female_athletes,0.014484965
total_historical_medals,0.013127274
gold_count_lag1,0.013038317
year_normalized,0.011733921
medal_count_lag3,0.011310723
historical_participation_count,0.011191191
year_medal_interaction,0.011169225
team_events_count,0.01031888
medal_count_lag2,0.009051851
is_improving,0.00874527
NOC_encoded,0.007974562
athlete_count_trend,0.0075080427
years_since_first_participation,0.0065495917
bronze_count_lag1,0.0062966757
medal_trend,0.006078744
silver_count_lag1,0.0039562574
is_host,0.0
host_medal_interaction,0.0
