feature,importance
athlete_medal_interaction,0.42664644
medal_count_lag1,0.09440841
athlete_count,0.090965495
max_medals_historical,0.059699584
event_count,0.055268962
athlete_count_normalized,0.03778272
bronze_count_lag1,0.028577622
host_medal_interaction,0.026464965
is_host,0.025847463
female_athletes,0.021398047
gold_count_lag1,0.015862098
silver_count_lag1,0.010291958
year_medal_interaction,0.009350888
athlete_count_trend,0.0089502325
avg_medals_last_3,0.0073144687
historical_medal_rate,0.0072223116
NOC_encoded,0.0070623765
medal_count_lag2,0.007028707
medal_count_lag3,0.0068016006
team_events_count,0.0066026375
years_since_last_medal,0.006293015
medal_trend,0.006005587
total_historical_medals,0.005882414
year_normalized,0.00575402
sport_count,0.0053552105
years_since_first_participation,0.0053402623
medal_streak,0.0050772093
historical_participation_count,0.004969572
is_improving,0.0017756725
