feature,importance
medal_count_lag1,0.28913072
athlete_medal_interaction,0.28764367
max_medals_historical,0.19386812
is_host,0.04306579
event_count,0.032537993
gold_count_lag1,0.022555346
athlete_count_normalized,0.017916868
female_athletes,0.01617556
athlete_count,0.013005863
years_since_last_medal,0.010450634
athlete_count_trend,0.010132614
is_improving,0.009694839
historical_participation_count,0.009244433
medal_count_lag2,0.008472235
years_since_first_participation,0.005359143
silver_count_lag1,0.0051864684
team_events_count,0.0038007856
NOC_encoded,0.0034281863
medal_streak,0.0031753003
medal_count_lag3,0.0025755835
medal_trend,0.0022408536
bronze_count_lag1,0.0019167227
sport_count,0.0017076201
year_normalized,0.0014767875
total_historical_medals,0.0014435424
year_medal_interaction,0.001440168
avg_medals_last_3,0.0013988182
historical_medal_rate,0.0009552828
host_medal_interaction,0.0
