feature,importance
medal_count_lag1,0.33837488
gold_count_lag1,0.23699735
athlete_medal_interaction,0.20373692
athlete_count,0.041046187
historical_medal_rate,0.029395457
athlete_count_normalized,0.018165765
max_medals_historical,0.01797367
event_count,0.017443934
female_athletes,0.016587585
athlete_count_trend,0.009150017
team_events_count,0.008917867
NOC_encoded,0.008550901
silver_count_lag1,0.0071305847
medal_streak,0.0048482367
years_since_last_medal,0.004802329
medal_count_lag2,0.004263683
total_historical_medals,0.0042544175
medal_trend,0.0039322004
years_since_first_participation,0.0037521143
year_medal_interaction,0.00361868
medal_count_lag3,0.0035827195
bronze_count_lag1,0.002892096
host_medal_interaction,0.0025245599
avg_medals_last_3,0.0022148376
sport_count,0.0016732996
year_normalized,0.0015517909
historical_participation_count,0.0013243811
is_improving,0.0012934869
is_host,0.0
